Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Albania,ALB,1987,69.32097
Albania,ALB,1988,59.96708
Albania,ALB,1989,75.36185
Albania,ALB,1992,64.09694
Albania,ALB,1993,69.78366
Albania,ALB,1994,45.89773
Albania,ALB,1995,50.015182
Albania,ALB,1996,45.937454
Albania,ALB,1997,33.796005
Albania,ALB,1998,31.089407
Albania,ALB,1999,23.929518
Albania,ALB,2000,28.050459
Albania,ALB,2001,16.292585
Albania,ALB,2002,18.049122
Albania,ALB,2003,20.36788
Albania,ALB,2004,16.440536
Albania,ALB,2005,12.007281
Albania,ALB,2006,7.6443586
Albania,ALB,2007,7.233839
Albania,ALB,2008,4.527637
Albania,ALB,2009,4.6227937
Albania,ALB,2010,3.1040833
Antigua and Barbuda,ATG,1961,76.41519
Antigua and Barbuda,ATG,1962,53.914722
Antigua and Barbuda,ATG,1963,91.334885
Antigua and Barbuda,ATG,1964,31.076647
Antigua and Barbuda,ATG,1966,40.11898
Antigua and Barbuda,ATG,1969,49.128212
Antigua and Barbuda,ATG,1970,45.979366
Antigua and Barbuda,ATG,1971,24.024103
Antigua and Barbuda,ATG,1972,44.369347
Antigua and Barbuda,ATG,1973,74.81035
Antigua and Barbuda,ATG,1974,45.405266
Antigua and Barbuda,ATG,1975,47.914474
Antigua and Barbuda,ATG,1976,60.597477
Antigua and Barbuda,ATG,1977,55.57316
Antigua and Barbuda,ATG,1978,36.126717
Antigua and Barbuda,ATG,1983,44.25327
Antigua and Barbuda,ATG,1985,40.584938
Antigua and Barbuda,ATG,1986,24.895107
Antigua and Barbuda,ATG,1987,33.637608
Antigua and Barbuda,ATG,1988,66.49929
Antigua and Barbuda,ATG,1989,38.91699
Antigua and Barbuda,ATG,1990,41.176205
Antigua and Barbuda,ATG,1991,44.750767
Antigua and Barbuda,ATG,1992,46.9353
Antigua and Barbuda,ATG,1993,37.804943
Antigua and Barbuda,ATG,1994,32.69134
Antigua and Barbuda,ATG,1995,13.592929
Antigua and Barbuda,ATG,1998,11.345544
Antigua and Barbuda,ATG,1999,21.604029
Antigua and Barbuda,ATG,2000,27.63551
Antigua and Barbuda,ATG,2001,18.869013
Antigua and Barbuda,ATG,2002,17.497269
Antigua and Barbuda,ATG,2003,27.766129
Antigua and Barbuda,ATG,2004,9.162422
Antigua and Barbuda,ATG,2005,21.882338
Antigua and Barbuda,ATG,2006,25.520903
Antigua and Barbuda,ATG,2007,22.063019
Antigua and Barbuda,ATG,2008,53.13863
Antigua and Barbuda,ATG,2009,22.674265
Antigua and Barbuda,ATG,2012,10.661292
Antigua and Barbuda,ATG,2013,15.206214
Antigua and Barbuda,ATG,2014,19.79075
Antigua and Barbuda,ATG,2020,25.599234
Antigua and Barbuda,ATG,2019,17.549429
Antigua and Barbuda,ATG,2018,26.913685
Antigua and Barbuda,ATG,2017,12.686172
